Walmart
Exxon Mobil
Chevron
Berkshire Hathaway
Apple
General Motors
Phillips 66
General Electric
Ford Motor
CVS Health
McKesson
AT&T
Valero Energy
UnitedHealth Group
Verizon
Fannie Mae
Costco
HP
Kroger
JP Morgan Chase
IBM
Marathon Petroleum
Cardinal Health
Boeing
Citigroup
Amazon.com
Wells Fargo
Microsoft
Procter & Gamble
Home Depot
Archer Daniels Midland
Walgreens
Target
Johnson & Johnson
Anthem
MetLife
Google
State Farm Insurance Cos.
Freddie Mac
Comcast
PepsiCo
United Technologies
AIG
UPS
Dow Chemical
Aetna
Lowe's
ConocoPhillips
Intel
Caterpillar
Prudential Financial
Pfizer
Disney
Humana
Cisco Systems
Sysco
Ingram Micro
Coca-Cola
Lockheed Martin
FedEx
Johnson Controls
Plains GP Holdings
World Fuel Services
CHS
Merck
Best Buy
Delta Air Lines
Honeywell International
Goldman Sachs Group
Tesoro
New York Life Insurance
Oracle
Morgan Stanley
Tyson Foods
Safeway
Nationwide
Deere
DuPont
American Express
Allstate
Cigna
Mondelez International
INTL FCStone
Massachusetts Mutual Life Insurance
DirecTV
Halliburton
3M
Sears Holdings
General Dynamics
Publix Super Markets
Philip Morris International
TJX
Time Warner
Macy's
Nike
Tech Data
Avnet
Northwestern Mutual
McDonald's
Exelon
Qualcomm
International Paper
Occidental Petroleum
Duke Energy
Rite Aid
Gilead Sciences
Baker Hughes
Emerson Electric
EMC
USAA
Union Pacific
Northrop Grumman
Alcoa
Capital One Financial
National Oilwell Varco
US Foods
Raytheon
Time Warner Cable
Arrow Electronics
Aflac
Staples
Abbott Laboratories
Community Health Systems
Fluor
Freeport-McMoRan
U.S. Bancorp
Nucor
Kimberly-Clark
Hess
Chesapeake Energy
Xerox
ManpowerGroup
Amgen
AbbVie
Danaher
Whirlpool
PBF Energy
HollyFrontier
Eli Lilly
Devon Energy
Progressive
Cummins
Icahn Enterprises
AutoNation
Kohl's
Paccar
Dollar General
Hartford Financial Services Group
Southwest Airlines
Anadarko Petroleum
Southern
Supervalu
Kraft Foods Group
Goodyear Tire & Rubber
EOG Resources
CenturyLink
Altria Group
Tenet Healthcare
General Mills
eBay
ConAgra Foods
Lear
United States Steel
Penske Automotive Group
AES
Colgate-Palmolive
Global Partners
Thermo Fisher Scientific
PG&E Corp.
NextEra Energy
American Electric Power
Baxter International
Centene
Starbucks
Gap
Bank of New York Mellon Corp.
Micron Technology
Jabil Circuit
Kinder Morgan
Office Depot
Bristol-Myers Squibb
NRG Energy
Monsanto
PPG Industries
Genuine Parts
Omnicom Group
Illinois Tool Works
Murphy USA
Land O'Lakes
Western Refining
Western Digital
FirstEnergy
Aramark
DISH Network
Las Vegas Sands
Kellogg
Loews
CBS
Ecolab
Whole Foods Market
Chubb
Health Net
Waste Management
Apache
Textron
Synnex
Marriott International
Viacom
Lincoln National
Nordstrom
Edison International
Marathon Oil
Yum Brands
Computer Sciences
Parker-Hannifin
DaVita HealthCare Partners
CarMax
Texas Instruments
WellCare Health Plans
Marsh & McLennan
Consolidated Edison
Oneok
Visa
CSX
Entergy
Facebook
Dominion Resources
Leucadia National
Toys "R" Us
DTE Energy
Ameriprise Financial
VF
Praxair
J.C. Penney
Automatic Data Processing
L-3 Communications
CDW
Xcel Energy
Norfolk Southern
PPL
R.R. Donnelley & Sons
Huntsman
Bed Bath & Beyond
Stanley Black & Decker
L Brands
Liberty Interactive
Farmers Insurance Exchange
First Data
Sherwin-Williams
BlackRock
Voya Financial
Ross Stores
Sempra Energy
Estee Lauder
Reinsurance Group of America
Public Service Enterprise Group
Cameron International
CST Brands
Principal Financial
Reliance Steel & Aluminum
Air Products & Chemicals
Assurant
Peter Kiewit Sons'
Henry Schein
